_id,Country,Project Name,Type,Status,Capacity (MW),Year of Completion,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country_1,Province/State,District,Tributary,Latitude,Longitude,Proximity,Avg. Annual Output (MWh),Data Source,Announcement/More Information,Link,the_geom
233,Vietnam,Ea Krong Rou,Hydro,Operational,28,2007,,,,,,,,,,,12.5992,108.94,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020,0101000020E61000003B55BE67243C5B4053AF5B04C6322940
234,Vietnam,Ea M'Doal 2,Hydro,Operational,5,2010,,,,,,,,,,,12.7721,108.882,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020,0101000020E61000000CEA5BE674385B4097CADB114E8B2940
235,Vietnam,Ea MDoal 3,Hydro,Operational,5,2010,Vietnam,Me Kong Construction JSC.,,,,,Vietnam,Đắk Lắk,M'Đrắk,Song Cho,12.7999,108.929,,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ea-mdoal-3-Hydropower,,0101000020E6100000E5F21FD26F3B5B400B24287E8C992940
236,Vietnam,H'Chan,Hydro,Operational,12,2006,,,,,,,,,,,13.8361,108.179,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020,0101000020E6100000145D177E700B5B403447567E19AC2B40
237,Vietnam,H'Mun,Hydro,Operational,16.3,2011,,,,,,,,,,,13.811,108.164,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020,0101000020E6100000DE1E84807C0A5B40A94C3107419F2B40
238,Vietnam,Ha Nang,Hydro,Operational,11,2011,,,,,,,,,,,15.2932,108.488,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020,0101000020E6100000F700DD97331F5B4023DC645419962E40
239,Vietnam,Ha Rao Quan,Hydro,Operational,6.4,2011,,,,,,,,,,,16.6483,106.769,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020,0101000020E61000006308008E3DB15A40B79A75C6F7A53040
240,Vietnam,Ha Song Pha 1,Hydro,Operational,5.4,2013,Vietnam,Ha Song Hydropower JSC,,,,,Vietnam,Ninh Thuận,Ninh Sơn,Song Cai Phan Rang,11.8284,108.691,,31860,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/song-pha-1-Hydropower,,0101000020E610000087A757CA322C5B404703780B24A82740
241,Vietnam,Ha Song Pha 2,Hydro,Operational,5.1,2015,Vietnam,Ha Song Hydropower JSC,,,,,Vietnam,Ninh Thuận,Ninh Sơn,Song Cai Phan Rang,11.8319,108.707,,30000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/song-pha-2-Hydropower,,0101000020E61000007E1D3867442D5B40B515FBCBEEA92740
242,Vietnam,Ha Song Pha 2,Hydro,Operational,5.1,2015,,,,,,,,,,,11.8329,108.708,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020,0101000020E61000006FD6E07D552D5B403563D17476AA2740
